rank,name,full_name,e3_family,pdb_count,druggability,protac_suitability,why_promising
1,RNF4,RING Finger Protein 4,RING,3,TIER_1,"HIGH - compact RING domain, multiple fragment hits, solvent-exposed regions","Well-characterized RING domain, multiple fragment screening hits, involved in DNA damage response - validated biology"
2,SMURF1,SMAD Ubiquitination Regulatory Factor 1,HECT,3,TIER_1,"HIGH - validated inhibitors, HECT domain druggability established, TGF-β pathway involvement",First HECT ligase with validated small molecule inhibitors; TGF-β/BMP pathway critical in cancer; allosteric sites offer exit vectors
3,ARIH1,Ariadne RBR E3 Ubiquitin Protein Ligase 1 (HHARI),RBR,3,TIER_1,"HIGH - emerging RBR ligase class, distinct from RING/HECT, CRL substrate regulation",First RBR ligase with small molecules; part of CRL machinery (works with Cullin-RING ligases); novel mechanism
4,BIRC2,Baculoviral IAP Repeat Containing 2 (cIAP2),RING,3,TIER_1,"HIGH - validated chemistry (Smac mimetics), apoptosis/NF-κB biology, clinical precedent",Sister to cIAP1; extensive chemical matter from Smac mimetic programs; clinical validation; BIR domain offers distinct binding vs RING
5,FBXW7,F-Box and WD Repeat Domain Containing 7 (Cdc4),CRL1 (SCF complex),3,TIER_1,"HIGH - tumor suppressor, substrate recognition druggable, molecular glue precedent","Most commonly mutated E3 in cancer; WD40 domain offers molecular glue potential (like CRBN); cyclin E, c-Myc, Notch degradation"
6,BTRC,Beta-Transducin Repeat Containing E3 Ubiquitin Protein Ligase (β-TrCP1),CRL1 (SCF complex),3,TIER_1,"HIGH - Wnt/NF-κB signaling, β-catenin degradation, WD40 druggability emerging","Critical Wnt pathway regulator; β-catenin, IκBα degradation; cancer/inflammation target; WD40 domain tractable"
7,SMURF2,SMAD Ubiquitination Regulatory Factor 2,HECT,2,TIER_1,"HIGH - similar to SMURF1, validated chemistry, distinct substrate profile","Paralog of SMURF1; shares druggability but distinct biology (p53 regulation, metastasis); offers complementary recruiter option"
8,NEDD4,Neural Precursor Cell Expressed Developmentally Down-Regulated Protein 4,HECT,2,TIER_1,"MEDIUM-HIGH - established HECT ligase, inhibitors in development, Na+ channel regulation","Prototype HECT ligase; multiple disease associations (cancer, neurodegeneration); structural biology well-established"
9,WWP1,WW Domain Containing E3 Ubiquitin Protein Ligase 1,HECT,2,TIER_1,"HIGH - emerging cancer target, druggable HECT domain, p53/TGF-β regulation",Oncogenic HECT ligase; validated chemical matter; critical in triple-negative breast cancer and bone metastasis
10,ARIH2,Ariadne RBR E3 Ubiquitin Protein Ligase 2 (TRIAD1),RBR,2,TIER_1,"HIGH - paralog of ARIH1, CRL E3-E3 cooperation, cancer biology",Works with CRLs to amplify ubiquitination; cancer-relevant; RBR druggability validated via ARIH1/Parkin
