name,full_name,e3_family,pdb_ids,pdb_count,ligand_type,binding_site,protac_suitability,druggability,priority_tier,rationale,biological_relevance,clinical_potential
RNF4,RING Finger Protein 4,RING,4PPE; 4AP4; 5AIT,3,"Fragment, small molecule inhibitor",RING domain with defined pocket,"HIGH - compact RING domain, multiple fragment hits, solvent-exposed regions",TIER_1,1,"Well-characterized RING domain, multiple fragment screening hits, involved in DNA damage response - validated biology","DNA damage response, SUMOylation pathway","Cancer therapy, DNA repair targeting"
RNF114,RING Finger Protein 114 (ZNF313),RING,2DIF; 2DIE,2,Metal-chelating fragment,RING domain with zinc coordination,"MEDIUM - zinc-dependent binding, smaller fragments",TIER_2,2,Compact RING domain with metal-binding sites; potential for fragment expansion,Transcriptional regulation,Development and cancer
SMURF1,SMAD Ubiquitination Regulatory Factor 1,HECT,6V6G; 6V6H; 6V6F,3,Covalent and non-covalent inhibitors,"HECT catalytic domain, defined allosteric pocket","HIGH - validated inhibitors, HECT domain druggability established, TGF-β pathway involvement",TIER_1,1,First HECT ligase with validated small molecule inhibitors; TGF-β/BMP pathway critical in cancer; allosteric sites offer exit vectors,"TGF-β/BMP signaling, bone morphogenesis","Cancer, fibrosis, bone disorders"
SMURF2,SMAD Ubiquitination Regulatory Factor 2,HECT,6HGJ; 6HGI,2,Allosteric inhibitors,HECT catalytic lobe,"HIGH - similar to SMURF1, validated chemistry, distinct substrate profile",TIER_1,1,"Paralog of SMURF1; shares druggability but distinct biology (p53 regulation, metastasis); offers complementary recruiter option","p53 regulation, TGF-β signaling, metastasis","Cancer (especially metastasis), fibrosis"
NEDD4,Neural Precursor Cell Expressed Developmentally Down-Regulated Protein 4,HECT,6WDN; 6WDM,2,Catalytic site inhibitors,HECT catalytic domain,"MEDIUM-HIGH - established HECT ligase, inhibitors in development, Na+ channel regulation",TIER_1,1,"Prototype HECT ligase; multiple disease associations (cancer, neurodegeneration); structural biology well-established","Ion channel regulation, neuronal function","Cancer, epilepsy, cardiovascular disease"
NEDD4L,NEDD4-Like E3 Ubiquitin Protein Ligase,HECT,4BBN; 4BBU,2,"Fragment, PPI inhibitor",WW domain (substrate recognition),"MEDIUM - WW domain targeting (PPI), less classical but validated",TIER_2,2,WW domain offers alternative binding mode; cardiovascular/renal disease relevance; fragment-to-lead potential,"Sodium channel regulation, blood pressure","Hypertension, kidney disease"
WWP1,WW Domain Containing E3 Ubiquitin Protein Ligase 1,HECT,6EJF; 6EJG,2,Allosteric inhibitor,HECT domain allosteric site,"HIGH - emerging cancer target, druggable HECT domain, p53/TGF-β regulation",TIER_1,1,Oncogenic HECT ligase; validated chemical matter; critical in triple-negative breast cancer and bone metastasis,"p53 degradation, TGF-β signaling, Wnt pathway","Triple-negative breast cancer, bone metastasis"
ITCH,Itchy E3 Ubiquitin Protein Ligase,HECT,3TUG; 3TUI,2,Fragment,WW domains (substrate recognition),"MEDIUM - WW domain targeting, immune regulation biology",TIER_2,2,Immune checkpoint regulator; WW domains offer PPI disruption opportunity; T-cell biology relevance,"T-cell differentiation, immune tolerance","Autoimmunity, cancer immunotherapy"
ARIH1,Ariadne RBR E3 Ubiquitin Protein Ligase 1 (HHARI),RBR,7KZ1; 7KZ2; 7KZ3,3,Fragment and tool compounds,RBR catalytic domain,"HIGH - emerging RBR ligase class, distinct from RING/HECT, CRL substrate regulation",TIER_1,1,First RBR ligase with small molecules; part of CRL machinery (works with Cullin-RING ligases); novel mechanism,"CRL regulation, E3-E3 cooperativity",Cancer (CRL pathway targeting)
ARIH2,Ariadne RBR E3 Ubiquitin Protein Ligase 2 (TRIAD1),RBR,6Q0V; 6Q0W,2,"Fragment, small molecule",RBR RING2 domain,"HIGH - paralog of ARIH1, CRL E3-E3 cooperation, cancer biology",TIER_1,1,Works with CRLs to amplify ubiquitination; cancer-relevant; RBR druggability validated via ARIH1/Parkin,"CRL amplification, cell cycle regulation",Cancer (proliferation control)
PARKIN,Parkin RBR E3 Ubiquitin Protein Ligase (PARK2),RBR,5N2W; 4ZYN; 5C1Z,3,"Allosteric activator, covalent modifier","RBR domain, allosteric sites","MEDIUM - RBR domain druggable, but activator-based (not inhibitor); Parkinson's disease biology",TIER_1,2,Most studied RBR ligase; multiple small molecule binders; mitophagy/neurodegeneration context; challenging for PROTAC (need inhibitors not activators),"Mitophagy, mitochondrial quality control","Parkinson's disease, neurodegeneration"
HOIP,HOIL-1L Interacting Protein (RNF31),RBR,6F00; 4LJP,2,Small molecule inhibitor (RBR domain),RBR RING2 catalytic domain,"HIGH - NF-κB signaling, immune regulation, RBR druggability, inflammation/cancer target",TIER_1,1,Central NF-κB regulator; unique linear ubiquitin chain synthesis; validated inhibitors in development; inflammation/cancer target,"Linear ubiquitination, NF-κB activation","Inflammation, cancer, autoimmunity"
RNF146,RING Finger Protein 146 (Iduna),RING,5B2J; 5B2N,2,Fragment (iso-ADP-ribose mimetic),WWE domain (recognizes PAR chains),"MEDIUM - WWE domain targeting unique, DNA damage response biology",TIER_2,2,Unique PAR-binding WWE domain; DNA damage/repair pathway; Wnt signaling regulation; fragment hits available,"PARylation signaling, DNA repair, Wnt pathway","Cancer (PARP pathway), neurodegeneration"
